ffo_bat_usage_niveau_1_txt;ffo_bat_mat_mur_txt;code_departement_insee;periode_construction;sum_batiment;sum_logement;sum_logement_vacant;sum_logement_loue;sum_logement_sociaux;sum_hlm;sum_logement_proprio;sum_shab;sum_sloc
Résidentiel collectif;agglo;33;P5;46;1050;81;787;576;576;107;66131;78082
Résidentiel collectif;agglo;33;P6;9;351;19;290;119;119;6;13604;16622
Résidentiel collectif;agglo;34;P0;426;1949;368;971;33;33;516;99547;132470
Résidentiel collectif;agglo;34;P1;151;557;92;238;18;18;208;30890;38069
Résidentiel collectif;agglo;34;P2;970;13415;1374;6887;3044;2924;4828;847057;1048042
Résidentiel collectif;agglo;34;P3;452;7656;751;3564;1545;1506;2970;387799;525255
Résidentiel collectif;agglo;34;P4;253;4120;300;1633;670;670;2039;210081;290858
Résidentiel collectif;agglo;34;P5;76;1583;156;1088;546;546;326;81295;122865
Résidentiel collectif;agglo;34;P6;34;540;99;335;263;263;55;31621;44143
Résidentiel collectif;agglo;35;P0;220;1027;157;544;58;58;295;49156;68880
Résidentiel collectif;agglo;35;P1;124;776;91;351;0;0;317;40443;54041
Résidentiel collectif;agglo;35;P2;426;7202;869;4924;3829;3829;1274;441088;537251
Résidentiel collectif;agglo;35;P3;603;12577;941;7367;4954;4905;4082;808089;983921
Résidentiel collectif;agglo;35;P4;173;3005;265;2149;917;906;553;147771;189839
Résidentiel collectif;agglo;35;P5;59;1297;94;1024;604;434;171;75635;94036
Résidentiel collectif;agglo;35;P6;28;493;27;317;118;118;66;30991;40161
Résidentiel collectif;agglo;36;P0;45;156;53;82;16;16;19;7767;10847
Résidentiel collectif;agglo;36;P1;5;10;3;0;0;0;7;598;905
Résidentiel collectif;agglo;36;P2;51;1210;169;989;1042;1042;44;66348;78737
Résidentiel collectif;agglo;36;P3;70;937;192;685;690;660;43;56017;73506
Résidentiel collectif;agglo;36;P4;22;305;21;271;268;268;13;20365;26690
Résidentiel collectif;agglo;36;P5;4;65;10;54;30;30;1;3287;5471
Résidentiel collectif;agglo;36;P6;1;42;1;19;42;42;0;3011;3641
Résidentiel collectif;agglo;37;P0;128;622;121;369;7;4;123;28046;37696
